rows;1000
cols;1000
its;1
algorithm;P;min;avg;max
build/stencil_mpi/mpi_benchmark_sendrecv;32;12.869835;210.918570;672.428131
build/stencil_mpi/mpi_benchmark_sendrecv;36;11.304140;209.629289;601.998091
build/stencil_mpi/mpi_benchmark_sendrecv;40;31.060934;395.012824;543.041945
build/stencil_mpi/mpi_benchmark_sendrecv;48;32.503128;347.190436;470.073223
build/stencil_mpi/mpi_benchmark_nonblocking;1;347.398043;352.466273;365.035057
build/stencil_mpi/mpi_benchmark_nonblocking;2;139.704943;275.151428;879.900932
build/stencil_mpi/mpi_benchmark_nonblocking;4;65.886021;426.108599;1721.198797
build/stencil_mpi/mpi_benchmark_nonblocking;8;37.050962;519.608490;1742.080927
build/stencil_mpi/mpi_benchmark_nonblocking;10;29.102087;371.959472;1348.254919
build/stencil_mpi/mpi_benchmark_nonblocking;12;24.042845;120.873443;475.997210
build/stencil_mpi/mpi_benchmark_nonblocking;16;18.229008;392.840894;1327.721119
build/stencil_mpi/mpi_benchmark_nonblocking;20;15.194893;416.337379;1072.515965
build/stencil_mpi/mpi_benchmark_nonblocking;24;15.661955;249.934085;878.647089
build/stencil_mpi/mpi_benchmark_nonblocking;32;12.673140;235.237344;676.954031
build/stencil_mpi/mpi_benchmark_nonblocking;36;11.771917;236.562268;602.141857
build/stencil_mpi/mpi_benchmark_nonblocking;40;10.452032;94.544554;494.899035
build/stencil_mpi/mpi_benchmark_nonblocking;48;9.008884;282.644041;468.873024
build/stencil_mpi/mpi_benchmark_onesided_fence;1;360.537052;363.850331;368.514061
build/stencil_mpi/mpi_benchmark_onesided_fence;2;147.060871;296.982320;924.957991
build/stencil_mpi/mpi_benchmark_onesided_fence;4;67.905188;440.600189;1758.021116
build/stencil_mpi/mpi_benchmark_onesided_fence;8;39.735079;566.063730;1796.859026
build/stencil_mpi/mpi_benchmark_onesided_fence;10;32.974958;378.581452;1336.767197
build/stencil_mpi/mpi_benchmark_onesided_fence;12;27.482033;382.233906;1518.265009
build/stencil_mpi/mpi_benchmark_onesided_fence;16;21.896839;492.567531;1343.456030
build/stencil_mpi/mpi_benchmark_onesided_fence;20;18.861055;430.247355;1077.726126
build/stencil_mpi/mpi_benchmark_onesided_fence;24;20.297050;373.579685;906.069994
build/stencil_mpi/mpi_benchmark_onesided_fence;32;16.880035;295.881518;682.188034
build/stencil_mpi/mpi_benchmark_onesided_fence;36;16.047955;408.232490;619.872808
build/stencil_mpi/mpi_benchmark_onesided_fence;40;15.075207;261.762238;553.399086
build/stencil_mpi/mpi_benchmark_onesided_fence;48;452.883959;920.311515;2845.123053
build/stencil_mpi/mpi_benchmark_onesided_pscw;1;357.024193;361.993814;371.788025
build/stencil_mpi/mpi_benchmark_onesided_pscw;2;135.255814;284.047842;917.644978
build/stencil_mpi/mpi_benchmark_onesided_pscw;4;80.287933;451.974583;1765.079021
build/stencil_mpi/mpi_benchmark_onesided_pscw;8;37.283897;563.934914;1799.126863
build/stencil_mpi/mpi_benchmark_onesided_pscw;10;30.617952;361.750825;1333.966017
build/stencil_mpi/mpi_benchmark_onesided_pscw;12;25.835991;406.681784;1584.941864
build/stencil_mpi/mpi_benchmark_onesided_pscw;16;19.923925;491.282829;1342.757940
build/stencil_mpi/mpi_benchmark_onesided_pscw;20;17.173052;441.001256;1076.061964
build/stencil_mpi/mpi_benchmark_onesided_pscw;24;17.631054;373.866375;909.338951
build/stencil_mpi/mpi_benchmark_onesided_pscw;32;14.889956;291.549579;684.235811
build/stencil_mpi/mpi_benchmark_onesided_pscw;36;13.326883;283.843573;608.735085
build/stencil_mpi/mpi_benchmark_onesided_pscw;40;12.876034;373.980546;551.494837
build/stencil_mpi/mpi_benchmark_onesided_pscw;48;454.607010;590.925296;1165.833950

rows;2000
cols;2000
its;1
algorithm;P;min;avg;max
